Converting /ct12/abrammer/graphics/ecmf_tc_data/data/A_JSXX01ECEP141200_C_ECMP_20170714120000_tropical_cyclone_track_FERNANDA_-118p3degW_11degN_bufr4.bin
         2294559 function calls (2265619 primitive calls) in 5.160 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.000    0.000 <string>:5(_LazySequenceDescriptor)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 <string>:5(_Message)
        1    0.000    0.000    0.000    0.000 <string>:5(_Section0)
        1    0.001    0.001    0.001    0.001 <string>:5(_Section1v3)
        1    0.000    0.000    0.000    0.000 <string>:5(_Section1v4)
        1    0.000    0.000    0.000    0.000 <string>:5(_Section2)
        1    0.000    0.000    0.000    0.000 <string>:5(_Section3)
        1    0.000    0.000    0.000    0.000 <string>:5(_Section4)
        1    0.000    0.000    0.000    0.000 <string>:5(_Section5)
        1    0.000    0.000    0.000    0.000 <string>:5(_SequenceDescriptor)
        1    0.000    0.000    0.000    0.000 <string>:5(_Template)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
       24    0.001    0.000    0.261    0.011 __init__.py:1(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(ExtType)
        1    0.000    0.000    0.000    0.000 __init__.py:1003(FileHandler)
        1    0.000    0.000    0.110    0.110 __init__.py:101(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:1011(rc_params)
        1    0.000    0.000    0.000    0.000 __init__.py:1031(is_url)
